id,objet,adrs,dept,region,social_object1_libelle,titre,facebook_url,helloasso_url
W012007337,"promotion des actions et expériences locales de développement dans les régions centre et sud du Cameroun ; ces actions sont ciblées sur des micro-projets dans les domaines suivants : l'éducation, le médico-social, les infra-structures de petites dimensions, la communication entre partenaires via les réseaux locaux ; l'objectif de l'association est d'enraciner son action dans des initiatives locales à tous niveaux : création, réalisation puis gestion",20 bis rue de lyon 1800 meximieux,Essonne,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,LA MAIN TENDUE (LMT),not found,not found
W012009573,"faire participer l'immigration d'origine africaine à l'action citoyenne ; mener des actions culturelles qui favorisent la rencontre, le débat, la réflexion ; créer des ateliers de cuisine, couture ou peintures africaines ; organiser des collectes de biens utiles à la population à la charge de l'association ; en Afrique : création au Cameroun des centres d'accueil, de soutien et de formation pour la jeunesse et personnes en difficulté (abandon, veuvage, maltraitance, délinquance) ; la recherche en Europe des fonds et des équipements pour le fonctionnement des centres",2 boulevard irene joliot curie 1000 bourg-en-bresse,Essonne,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,ASSOCIATION TREMPLINGALLE - KAMKA,not found,not found
W012010074,"prise en charge des soins et traitements de l'enfant Audrey Choudjuem né en 2000, handicapé psychomoteur, habitant à Bonabéri, Douala (Cameroun) ; participer financièrement, conjointement à sa mère, à toute action lui permettant de se développer physiquement, psychologiquement et affectivement ; participer financièrement à l'amélioration de ses conditions de vie, à son domicile et au sein d'une structure d'accueil éducatif, au moyen de dons, cotisations, collectes et ventes de produits",27 rue lulli 1000 saint-denis-les-bourg,Essonne,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,ACTIONS SOLIDAIRES POUR AUDREY (ASPA),not found,not found
W013000025,"formation et éducation des jeunes et des adultes, et notamment la création et la gestion de tous établissements scolaires privés, primaires et secondaires, de tous centres ou locaux culturels ou sportifs annexes à cet objet, ainsi que tout ce qui, directement ou indirectement permet ou facilite la réalisation de son objet notamment la prise à bail ou l'acquisition de biens en vue de l'exercice de son objet ; l'association réalise son objet dans la région de Yaoundé/Cameroun par la gestion du groupe scolaire Anyeng (Semence)",331 chem1 de tir-mir 1220 divonne-les-bains,Essonne,Île-de-France,ÉDUCATION  FORMATION,ASSOCIATION DU GROUPE SCOLAIRE ANYENG,not found,not found
W013000170,aider les enfants mineurs au Cameroun d'avoir droit à l'école et accès à la santé pour leur avenir,1210 ferney-voltaire,Essonne,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,"DROIT D'EDUCATION, ACCES A LA SANTE POUR TOUS",not found,not found
W014001386,venir en aide aux communautés défavorisées du Cameroun,232 rue du muret 1200 chatillon-en-michaille,Essonne,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,NGON MELANG,not found,not found
W022002351,aide à l'enfance défavorisée et au développement communautaire des paysans du Cameroun sans distinction de race ou de groupe ethnique ; amélioration des conditions de vie et respect des droits de l'enfance définis par la convention internationale des droits de l'enfant du 20 novembre 1989 ; toutes autres formes d'aide humanitaire,5 rue du garet 69001 lyon,Rhône,Auvergne-Rhône-Alpes,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AEDENYS/MIMETALA VILLAGE,https://www.facebook.com/Mimetala-Village-309929699196162/,not found
W022006391,"réaliser des études de faisabilité des projets des membres VKII (France et Allemagne) ; accompagner et assister le bureau VKII (Allemagne) et ses membres dans la
réalisation de leurs projets ; organiser des séminaires et des séances de renforcement des capacités ; promouvoir l´entreprenariat et l´innovation en France ; promouvoir l´entraide et l´épanouissement (social, physique, matériel, financier etc) de ses membres ; promouvoir les relations Franco-Allemandes",23 boulevard gambetta 2700 tergnier,Hauts-de-Seine,Île-de-France,REPRÉSENTATION/ PROMOTION ET DÉFENSE D'INTÉRÊTS ÉCONOMIQUES,ASSOCIATION DES INGÉNIEURS ET INFORMATICIENS CAMEROUNAIS D'ALLEMAGNE - FRANCE / VEREIN KAMERUNISHER INGENIEURE UND INFORMATIKER - FRANCE,https://www.facebook.com/groups/226124700237/,not found
W024000683,"accompagner, soutenir et promouvoir le projet agricole, en particulier l'agriculture, l'alimentation et la nutrition au sein du centre de promotion humaine de Tokombéré (CPHT) au Cameroune, contribuer aux relations nord/sud et sud/sud",1 rue de l'eglise 2220 cuiry-housse,Hauts-de-Seine,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,MIL ET BLE,not found,not found
W031001508,amasser des objets et des dons pour collecter des fonds afin d'entraider des jeunes enfants du Cameroun à aller à l'école publique,3350 le brethon,Seine-Saint-Denis,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,LES TOUS PETITS,not found,not found
